Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Are you Facebook user?,From which country do you participate in the survey?,,What is your age?,What is your gender?,What is your education level?,Please select your Facebook usage type:,How often do you use Facebook?,Do you know/aware of the privacy policy rules of Facebook?,Have you configured the privacy setting of your profile?,"Do you know that you can control the visibility of your posts with some privacy settings? (restricting the visibility of your post to only all/some of your friends, friends and friends of friends, or public)?",What is your general preference for the visibility of your posts?,"Suppose that you have commented on a post that was created by your best friend and that this post is only shared by your best friends' friends. You trust that your friend will not make your comment visible to others than the selected group of people. However, after few days your best friend changes the privacy setting of this post to public. As a result of Facebook Privacy Policy (stating that privacy of interactions on a post only depends on the privacy setting of that particular post, controlled tuned only by the post owner), your comment became visible to public, without getting your approval. What is your opinion about this policy?","Suppose that you see a public post in Facebook, and comment on it, by being aware that your comment will be visible to everyone. After a while, suppose that the post owner changed the visibility of that post to friends only, and you're not among his/her list of friends on Facebook. As a result of the Facebook Privacy Policy as described previously, you cannot see the post. You cannot even have access to your own comment or see it in your own action logs. What is your opinion about this policy?",Were you aware of above described privacy related issues?,Do you think that our solution is clearly understood through the mockup?,Do you think that this solution is useful to improve the privacy awareness of Facebook members?,"Do you think that this solution can be implemented in real world? If so, by whom?",Do you think that this problem should be solved by Facebook through policy regulations and service refinements?,"Do you have any other comments, questions, or concerns?"
10472225840,223929250,01/17/2019 08:51:26 AM,01/17/2019 08:54:39 AM,195.130.97.166,,,,,Yes,Greece,,45-54,Male,High School,I generally write comments to posts in my News Feed,When Facebook send an alert then I check my received posts,Yes,Yes,Yes,Public,Strongly disagree,Strongly disagree,No,Yes,Yes,by any trustable third party,"Yes, certainly this is more practical and faster solution",
10472222245,223929250,01/17/2019 08:49:06 AM,01/17/2019 08:51:00 AM,5.144.205.13,,,,,Yes,Greece,,25-34,Male,Doctorate degree,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",When Facebook send an alert then I check my received posts,No,No,Yes,Default Setting,Strongly agree,Neutral,Yes,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10472219908,223929250,01/17/2019 08:44:45 AM,01/17/2019 08:48:39 AM,195.130.96.201,,,,,Yes,Greece,,45-54,Female,Postgraduate degree,"I like to have interactions (like, comment, share, etc.) with posts in my News Feed",For few hours on each day,Yes,Yes,Yes,Only my friends,Strongly disagree,Strongly disagree,Yes,Yes,Yes,by any trustable third party,"Yes, certainly this is more practical and faster solution",
10472217823,223929250,01/17/2019 08:42:10 AM,01/17/2019 08:46:34 AM,46.177.156.224,,,,,Yes,Greece,,55+,Male,Doctorate degree,"I like to have interactions (like, comment, share, etc.) with posts in my News Feed",I am following continuously,No,No,No,Public,Strongly agree,Strongly agree,Yes,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",no
10472217793,223929250,01/17/2019 08:43:40 AM,01/17/2019 08:46:32 AM,62.74.0.142,,,,,Yes,Greece,,15-24,Male,University graduate,"I like to have interactions (like, comment, share, etc.) with posts in my News Feed",I am following continuously,Yes,Yes,Yes,Friends of Friends,Neutral,Neutral,Yes,No,Yes,by Facebook,"No, this would be too complicated",
10472217677,223929250,01/17/2019 08:41:32 AM,01/17/2019 08:46:25 AM,212.54.217.172,,,,,Yes,Greece,,15-24,Male,High School,I mostly prefer to like posts in my News Feed,When Facebook send an alert then I check my received posts,Yes,Yes,Yes,Friends of Friends,Probably disagree,Neutral,No,Yes,No,by Facebook,"Yes, certainly this is more practical and faster solution",
10472217283,223929250,01/17/2019 08:41:34 AM,01/17/2019 08:45:58 AM,79.130.147.230,,,,,Yes,Greece,,15-24,Female,High School,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",When Facebook send an alert then I check my received posts,No,Yes,Yes,Friends of Friends,Neutral,Neutral,No,Yes,Yes,by Facebook,"No, this would be too complicated",
10472216892,223929250,01/17/2019 08:35:57 AM,01/17/2019 08:45:34 AM,62.74.16.188,,,,,Yes,Greece,,15-24,Female,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",I am following continuously,Yes,Yes,Yes,Only my friends,Neutral,Probably disagree,No,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10472214362,223929250,01/17/2019 08:36:26 AM,01/17/2019 08:42:56 AM,62.74.4.153,,,,,Yes,Greece,,25-34,Male,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",For few hours on each day,No,Yes,Yes,Only my friends,Strongly disagree,Strongly disagree,Yes,No,Yes,"no, it’s inapplicable","Yes, certainly this is more practical and faster solution",Every account should be private and not anymore being cracked!!! 
10472213467,223929250,01/17/2019 08:41:30 AM,01/17/2019 08:41:59 AM,94.66.222.205,,,,,No,,,,,,,,,,,,,,,,,,,
10472211685,223929250,01/17/2019 08:36:12 AM,01/17/2019 08:40:12 AM,85.75.68.209,,,,,Yes,Greece,,15-24,Female,High School,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",For few hours on each day,Yes,Yes,Yes,Only my friends,Probably disagree,Probably disagree,Yes,Yes,Yes,by any trustable third party,"Yes, certainly this is more practical and faster solution",No
10472210466,223929250,01/17/2019 08:35:53 AM,01/17/2019 08:38:57 AM,176.58.192.36,,,,,Yes,Greece,,15-24,Female,University graduate,"I like to have interactions (like, comment, share, etc.) with posts in my News Feed",I am following continuously,Yes,Yes,Yes,Only my friends,Neutral,Neutral,Yes,Yes,Yes,"no, it’s inapplicable","Yes, certainly this is more practical and faster solution",
10472209244,223929250,01/17/2019 08:35:39 AM,01/17/2019 08:37:42 AM,5.144.221.75,,,,,Yes,Greece,,15-24,Male,High School,"I like to have interactions (like, comment, share, etc.) with posts in my News Feed",For few hours on each day,Yes,Yes,Yes,Friends of Friends,Strongly agree,Probably agree,Yes,No,No,"no, it’s inapplicable","No, this would be too complicated",
10472207391,223929250,01/17/2019 08:33:11 AM,01/17/2019 08:35:42 AM,62.74.18.83,,,,,Yes,Greece,,15-24,Female,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",For few hours on each day,Yes,No,Yes,Only my friends,Probably agree,Probably disagree,Yes,No,Yes,by Facebook,"No, this would be too complicated",
10471789093,223929250,01/16/2019 06:10:45 PM,01/17/2019 03:36:32 AM,82.74.215.70,,,,,Yes,Other (please specify),Netherlands ,25-34,Male,University graduate,I mostly prefer to like posts in my News Feed,For few hours on each day,Yes,Yes,Yes,Only my friends,Probably agree,Probably agree,Yes,No,Yes,by Facebook,"No, this would be too complicated",This kind of simulation is already done by facebook.
10471781260,223929250,01/17/2019 03:28:59 AM,01/17/2019 03:32:09 AM,62.74.97.243,,,,,Yes,Greece,,15-24,Female,High School,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",For few hours on each day,No,No,Yes,Friends of Friends,Neutral,Probably disagree,No,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",No
10471547910,223929250,01/17/2019 01:21:42 AM,01/17/2019 01:31:40 AM,78.87.114.110,,,,,Yes,Greece,,15-24,Male,High School,I mostly prefer to like posts in my News Feed,When Facebook send an alert then I check my received posts,No,Yes,Yes,Only my friends,Probably disagree,Neutral,Yes,No,Yes,"no, it’s inapplicable","No, this would be too complicated",
10471533896,223929250,01/17/2019 01:19:11 AM,01/17/2019 01:25:12 AM,141.237.158.168,,,,,Yes,Greece,,15-24,Male,University graduate,I mostly prefer to like posts in my News Feed,Regularly I check it weekly,No,No,No,Friends of Friends,Probably agree,Probably agree,No,No,No,by Facebook,"No, this would be too complicated",No
10471359273,223929250,01/17/2019 12:12:02 AM,01/17/2019 12:15:05 AM,46.197.226.147,,,,,Yes,Turkey,,55+,Female,Doctorate degree,"I like to have interactions (like, comment, share, etc.) with posts in my News Feed",I am following continuously,Yes,No,Yes,Only my friends,Probably agree,Probably agree,Yes,Yes,Yes,"no, it’s inapplicable","Yes, certainly this is more practical and faster solution",
10471119808,223929250,01/16/2019 10:34:23 PM,01/16/2019 10:37:55 PM,46.246.200.23,,,,,Yes,Greece,,15-24,Male,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",For few hours on each day,No,Yes,Yes,Default Setting,Neutral,Neutral,Yes,,Yes,by any trustable third party,"Yes, certainly this is more practical and faster solution",
10471118977,223929250,01/16/2019 09:22:18 PM,01/16/2019 10:37:35 PM,176.33.254.157,,,,,Yes,Turkey,,25-34,Male,Postgraduate degree,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",For few hours on each day,No,Yes,Yes,Only my friends,Probably disagree,Probably disagree,No,Yes,Yes,by any trustable third party,"Yes, certainly this is more practical and faster solution",
10470952114,223929250,01/16/2019 09:23:48 PM,01/16/2019 09:29:42 PM,147.27.58.197,,,,,Yes,Greece,,15-24,Male,University graduate,"I like to have interactions (like, comment, share, etc.) with posts in my News Feed",When Facebook send an alert then I check my received posts,Yes,Yes,Yes,Only my friends,Probably disagree,Strongly disagree,No,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10470914670,223929250,01/16/2019 09:11:55 PM,01/16/2019 09:15:02 PM,88.246.209.48,,,,,Yes,Turkey,,25-34,Male,Postgraduate degree,I mostly prefer to like posts in my News Feed,I am following continuously,No,Yes,Yes,Only my friends,Probably disagree,Probably disagree,Yes,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10470844515,223929250,01/16/2019 08:43:48 PM,01/16/2019 08:47:39 PM,141.255.90.251,,,,,No,Greece,,15-24,Female,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",When Facebook send an alert then I check my received posts,No,Yes,Yes,Only my friends,Probably disagree,Strongly disagree,No,Yes,Yes,by any trustable third party,"Yes, certainly this is more practical and faster solution",No
10470767406,223929250,01/16/2019 08:17:10 PM,01/16/2019 08:19:49 PM,95.216.38.116,,,,,Yes,Turkey,,45-54,Male,Postgraduate degree,"I like to have interactions (like, comment, share, etc.) with posts in my News Feed",Regularly I check it weekly,Yes,Yes,Yes,Only with selected friend(s),Probably disagree,Neutral,Yes,Yes,Yes,by any trustable third party,"Yes, certainly this is more practical and faster solution",
10470688025,223929250,01/16/2019 07:47:59 PM,01/16/2019 07:51:58 PM,62.74.3.102,,,,,Yes,Greece,,15-24,Male,University graduate,I mostly prefer to like posts in my News Feed,Regularly I check it weekly,No,No,Yes,Only my friends,Strongly disagree,Probably disagree,No,No,Yes,by any trustable third party,"Yes, certainly this is more practical and faster solution",
10470682989,223929250,01/16/2019 07:44:53 PM,01/16/2019 07:50:16 PM,5.144.209.52,,,,,Yes,Greece,,15-24,Male,University graduate,I mostly prefer to like posts in my News Feed,Regularly I check it weekly,Yes,Yes,Yes,Only my friends,Neutral,Probably disagree,Yes,Yes,Yes,by Facebook,"No, this would be too complicated",
10470622888,223929250,01/16/2019 07:25:59 PM,01/16/2019 07:31:24 PM,5.144.202.41,,,,,No,Greece,,15-24,Male,High School,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",When Facebook send an alert then I check my received posts,Yes,Yes,Yes,Only my friends,Probably disagree,Strongly disagree,No,No,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10470618910,223929250,01/16/2019 07:26:02 PM,01/16/2019 07:30:12 PM,5.144.205.81,,,,,Yes,Greece,,15-24,Female,High School,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",For few hours on each day,No,No,Yes,Only my friends,Probably disagree,Probably disagree,No,No,No,by Facebook,"Yes, certainly this is more practical and faster solution",
10470556468,223929250,01/16/2019 05:38:16 PM,01/16/2019 07:12:26 PM,82.145.223.104,,,,,Yes,Greece,,15-24,Male,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",I am following continuously,No,No,Yes,Only my friends,Probably agree,Strongly disagree,No,Yes,No,by any trustable third party,"Yes, certainly this is more practical and faster solution",Νο
10470495808,223929250,01/16/2019 06:48:32 PM,01/16/2019 06:53:29 PM,46.12.5.170,,,,,Yes,Greece,,15-24,Male,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",When Facebook send an alert then I check my received posts,Yes,Yes,Yes,Only my friends,Probably agree,Neutral,No,Yes,No,by any trustable third party,"Yes, certainly this is more practical and faster solution",No
10470486284,223929250,01/16/2019 06:46:08 PM,01/16/2019 06:50:01 PM,193.92.215.246,,,,,Yes,Greece,,15-24,Male,University graduate,I mostly prefer to like posts in my News Feed,For few hours on each day,No,Yes,Yes,Public,Neutral,Probably disagree,No,,,,,"Opening the link, i got redirected to a page that then redirected me to a play store app, so i didn't download it. Sorry!"
10470471578,223929250,01/16/2019 06:41:59 PM,01/16/2019 06:44:46 PM,176.58.224.99,,,,,Yes,Greece,,15-24,Male,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",Regularly I check it weekly,No,No,No,Public,Neutral,Strongly agree,No,No,No,"no, it’s inapplicable","No, this would be too complicated",
10470453482,223929250,01/16/2019 06:31:16 PM,01/16/2019 06:38:21 PM,85.135.2.66,,,,,Yes,Greece,,25-34,Male,High School,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",For few hours on each day,Yes,Yes,Yes,Public,Probably disagree,Probably disagree,Yes,Yes,No,"no, it’s inapplicable","No, this would be too complicated",
10470437983,223929250,01/16/2019 06:30:02 PM,01/16/2019 06:32:53 PM,155.207.33.163,,,,,Yes,Greece,,15-24,Male,University graduate,I mostly prefer to like posts in my News Feed,I am following continuously,Yes,Yes,Yes,Only my friends,Probably disagree,Strongly disagree,No,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10470427010,223929250,01/16/2019 06:22:49 PM,01/16/2019 06:28:54 PM,213.16.254.157,,,,,Yes,Greece,,15-24,Male,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",For few hours on each day,Yes,Yes,Yes,Only with selected friend(s),Strongly disagree,Strongly disagree,No,Yes,Yes,by Facebook,"No, this would be too complicated",
10470414056,223929250,01/16/2019 06:19:16 PM,01/16/2019 06:24:18 PM,94.68.10.139,,,,,Yes,Greece,,15-24,Male,High School,"I like to have interactions (like, comment, share, etc.) with posts in my News Feed",For few hours on each day,No,Yes,Yes,Friends of Friends,Strongly disagree,Strongly disagree,No,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10470395601,223929250,01/16/2019 06:13:19 PM,01/16/2019 06:17:45 PM,141.237.241.60,,,,,Yes,Greece,,15-24,Male,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",For few hours on each day,No,Yes,Yes,Friends of Friends,Probably disagree,Neutral,Yes,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10470391237,223929250,01/16/2019 06:08:45 PM,01/16/2019 06:16:11 PM,195.251.76.178,,,,,Yes,Greece,,35-44,Male,Doctorate degree,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",When Facebook send an alert then I check my received posts,No,Yes,Yes,Only my friends,Strongly disagree,Strongly disagree,Yes,Yes,Yes,by any trustable third party,"Yes, certainly this is more practical and faster solution",Nice work!
10470387241,223929250,01/16/2019 06:10:31 PM,01/16/2019 06:14:44 PM,94.66.222.151,,,,,Yes,Greece,,25-34,Male,Postgraduate degree,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",For few hours on each day,No,No,Yes,Public,Neutral,Neutral,No,Yes,Yes,by any trustable third party,"Yes, certainly this is more practical and faster solution",No
10470382617,223929250,01/16/2019 06:06:56 PM,01/16/2019 06:13:03 PM,130.43.25.33,,,,,Yes,Greece,,15-24,Male,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",For few hours on each day,Yes,Yes,Yes,Only my friends,Strongly disagree,Strongly disagree,Yes,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10470369289,223929250,01/16/2019 06:06:43 PM,01/16/2019 06:08:15 PM,212.251.121.37,,,,,Yes,Greece,,15-24,Female,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",For few hours on each day,Yes,Yes,Yes,Only my friends,Neutral,Probably disagree,Yes,No,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",Νο
10470366751,223929250,01/16/2019 05:58:27 PM,01/16/2019 06:07:20 PM,5.144.217.204,,,,,Yes,Greece,,15-24,Male,University graduate,I mostly prefer to like posts in my News Feed,I am following continuously,Yes,Yes,Yes,Only my friends,Neutral,Neutral,Yes,Yes,Yes,"no, it’s inapplicable","Yes, certainly this is more practical and faster solution","Guys you are on Facebook and you share personal information with everyone; The intelligence agencies of the countries, 3rd party companies, apps etc. Your life is exposed because you chose to do so. Consider everything you do in Facebook is publicly visible and get used to it. No policy, no government and no law will ever stop Facebook doing what is does "
10470359503,223929250,01/16/2019 05:51:39 PM,01/16/2019 06:04:48 PM,195.251.89.80,,,,,Yes,Greece,,35-44,Female,University graduate,I mostly prefer to like posts in my News Feed,When Facebook send an alert then I check my received posts,No,Yes,Yes,Friends of Friends,Probably disagree,Strongly disagree,No,Yes,Yes,by any trustable third party,"Yes, certainly this is more practical and faster solution",
10470352304,223929250,01/16/2019 05:58:15 PM,01/16/2019 06:02:21 PM,94.66.112.232,,,,,Yes,Greece,,25-34,Male,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",For few hours on each day,No,No,Yes,Only my friends,Probably disagree,Probably disagree,No,Yes,No,by any trustable third party,"Yes, certainly this is more practical and faster solution",
10470349016,223929250,01/16/2019 05:53:01 PM,01/16/2019 06:01:12 PM,85.74.72.177,,,,,Yes,Greece,,15-24,Male,University graduate,"I like to have interactions (like, comment, share, etc.) with posts in my News Feed",When Facebook send an alert then I check my received posts,No,No,Yes,Public,Neutral,Neutral,Yes,Yes,Yes,"no, it’s inapplicable","Yes, certainly this is more practical and faster solution",In our days facebook has low resonance.  Instagram is this app which all eyes are on it 😉
10470341968,223929250,01/16/2019 05:54:41 PM,01/16/2019 05:58:37 PM,130.43.59.68,,,,,Yes,Greece,,15-24,Male,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",Regularly I check it weekly,No,Yes,Yes,Only my friends,Strongly disagree,Probably disagree,No,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10470330990,223929250,01/16/2019 05:49:22 PM,01/16/2019 05:54:37 PM,195.251.66.79,,,,,Yes,Greece,,45-54,Female,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",For few hours on each day,Yes,Yes,No,Only with selected friend(s),Neutral,Neutral,No,No,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",no
10470328629,223929250,01/16/2019 05:51:41 PM,01/16/2019 05:53:45 PM,195.251.88.33,,,,,Yes,Greece,,25-34,Female,Postgraduate degree,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",I am following continuously,Yes,Yes,Yes,Only my friends,Probably disagree,Probably disagree,Yes,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10470325728,223929250,01/16/2019 05:48:02 PM,01/16/2019 05:52:38 PM,195.251.88.170,,,,,Yes,Greece,,25-34,Female,Postgraduate degree,I mostly prefer to like posts in my News Feed,For few hours on each day,No,Yes,Yes,Only my friends,Strongly disagree,Strongly disagree,No,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10470325661,223929250,01/16/2019 05:47:23 PM,01/16/2019 05:52:37 PM,195.251.88.176,,,,,Yes,Greece,,35-44,Male,University graduate,"I like to have interactions (like, comment, share, etc.) with posts in my News Feed",When Facebook send an alert then I check my received posts,Yes,Yes,Yes,Only with selected friend(s),Strongly disagree,Strongly disagree,Yes,Yes,Yes,by any trustable third party,"Yes, certainly this is more practical and faster solution",
10470320641,223929250,01/16/2019 05:47:33 PM,01/16/2019 05:50:44 PM,195.251.88.33,,,,,Yes,Greece,,35-44,Female,Postgraduate degree,"I like to have interactions (like, comment, share, etc.) with posts in my News Feed",For few hours on each day,No,Yes,Yes,Only my friends,Strongly agree,Strongly disagree,No,Yes,Yes,by any trustable third party,"No, this would be too complicated",
10470320447,223929250,01/16/2019 05:38:20 PM,01/16/2019 05:50:39 PM,62.74.5.35,,,,,Yes,Greece,,15-24,Male,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",For few hours on each day,Yes,Yes,Yes,Only my friends,Neutral,Strongly disagree,No,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10470310221,223929250,01/16/2019 05:37:49 PM,01/16/2019 05:46:49 PM,77.49.47.118,,,,,Yes,Greece,,25-34,Male,Postgraduate degree,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",When Facebook send an alert then I check my received posts,Yes,Yes,Yes,Only my friends,Strongly disagree,Strongly disagree,Yes,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10470294133,223929250,01/16/2019 05:38:32 PM,01/16/2019 05:40:40 PM,109.242.142.118,,,,,Yes,Greece,,35-44,Male,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",When Facebook send an alert then I check my received posts,No,Yes,Yes,Only my friends,Probably disagree,Probably disagree,Yes,No,Yes,by any trustable third party,"Yes, certainly this is more practical and faster solution",
10470287620,223929250,01/16/2019 05:33:58 PM,01/16/2019 05:38:18 PM,85.74.80.195,,,,,Yes,Greece,,15-24,Female,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",When Facebook send an alert then I check my received posts,Yes,Yes,Yes,Only my friends,Probably disagree,Strongly disagree,No,Yes,Yes,"no, it’s inapplicable","Yes, certainly this is more practical and faster solution",
10470287519,223929250,01/16/2019 05:34:10 PM,01/16/2019 05:38:16 PM,62.74.10.13,,,,,Yes,Greece,,15-24,Male,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",For few hours on each day,No,No,No,Only with selected friend(s),Strongly agree,Strongly agree,Yes,Yes,Yes,by any trustable third party,"No, this would be too complicated",
10470286063,223929250,01/16/2019 05:33:57 PM,01/16/2019 05:37:45 PM,46.177.41.195,,,,,Yes,Greece,,15-24,Male,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",For few hours on each day,No,Yes,Yes,Only my friends,Neutral,Probably disagree,No,Yes,Yes,by any trustable third party,"Yes, certainly this is more practical and faster solution",
10470284243,223929250,01/16/2019 05:34:09 PM,01/16/2019 05:37:08 PM,5.144.204.169,,,,,Yes,Greece,,25-34,Male,University graduate,"I like to have interactions (like, comment, share, etc.) with posts in my News Feed",I am following continuously,Yes,Yes,Yes,Only my friends,Probably disagree,Probably disagree,Yes,Yes,Yes,by any trustable third party,"Yes, certainly this is more practical and faster solution",
10469994260,223929250,01/16/2019 03:36:34 PM,01/16/2019 03:37:37 PM,78.165.86.117,,,,,No,,,,,,,,,,,,,,,,,,,
10469878302,223929250,01/16/2019 02:26:10 PM,01/16/2019 02:29:52 PM,88.246.175.93,,,,,No,Turkey,,25-34,Male,Postgraduate degree,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",When Facebook send an alert then I check my received posts,No,Yes,Yes,Only my friends,Probably disagree,Neutral,Yes,Yes,No,by Facebook,"No, this would be too complicated",
10469843340,223929250,01/16/2019 01:59:16 PM,01/16/2019 02:07:11 PM,193.140.250.85,,,,,Yes,Other (please specify),Australia,45-54,Male,Doctorate degree,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",When Facebook send an alert then I check my received posts,Yes,Yes,Yes,Only my friends,Strongly disagree,Strongly disagree,No,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10469815737,223929250,01/16/2019 01:44:56 PM,01/16/2019 01:48:45 PM,5.24.195.83,,,,,Yes,Turkey,,25-34,Male,University graduate,I mostly prefer to like posts in my News Feed,I am following continuously,Yes,Yes,Yes,Public,Neutral,Neutral,Yes,Yes,Yes,by any trustable third party,"Yes, certainly this is more practical and faster solution",
10469701053,223929250,01/16/2019 12:22:27 PM,01/16/2019 12:33:12 PM,193.205.210.72,,,,,Yes,Italy,,15-24,Male,Postgraduate degree,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",Regularly I check it weekly,Yes,Yes,Yes,Only my friends,Probably disagree,Strongly disagree,No,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10468598380,223929250,01/16/2019 01:03:33 AM,01/16/2019 01:06:23 AM,193.205.210.45,,,,,Yes,Other (please specify),Pakistan,25-34,Male,Postgraduate degree,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",When Facebook send an alert then I check my received posts,No,Yes,Yes,Only my friends,Probably agree,Probably agree,No,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10468132190,223929250,01/15/2019 10:23:12 PM,01/15/2019 10:26:31 PM,78.169.123.213,,,,,Yes,Turkey,,45-54,Female,University graduate,I generally write comments to posts in my News Feed,Regularly I check it weekly,No,Yes,No,Only my friends,Probably disagree,Strongly disagree,No,No,No,"no, it’s inapplicable","Yes, certainly this is more practical and faster solution",No
10467514524,223929250,01/15/2019 06:25:08 PM,01/15/2019 06:27:57 PM,178.244.138.122,,,,,Yes,Turkey,,45-54,Female,Postgraduate degree,I mostly prefer to like posts in my News Feed,Regularly I check it weekly,Yes,Yes,Yes,Only my friends,Neutral,Neutral,Yes,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",No
10467345972,223929250,01/15/2019 05:16:50 PM,01/15/2019 05:20:33 PM,85.105.143.124,,,,,No,Turkey,,15-24,Female,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",Regularly I check it weekly,No,No,Yes,Only with selected friend(s),Probably disagree,Strongly disagree,No,No,Yes,"no, it’s inapplicable","Yes, certainly this is more practical and faster solution",.
10467277195,223929250,01/15/2019 04:45:49 PM,01/15/2019 04:50:48 PM,217.77.82.81,,,,,Yes,Italy,,15-24,Female,Postgraduate degree,I mostly prefer to like posts in my News Feed,For few hours on each day,No,Yes,Yes,Only my friends,Strongly disagree,Strongly disagree,No,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10467212172,223929250,01/15/2019 04:16:55 PM,01/15/2019 04:19:16 PM,193.205.210.72,,,,,Yes,Italy,,25-34,Male,University graduate,I mostly prefer to like posts in my News Feed,For few hours on each day,Yes,Yes,Yes,Public,Neutral,Probably disagree,No,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10467207370,223929250,01/15/2019 04:12:12 PM,01/15/2019 04:16:48 PM,193.205.210.72,,,,,Yes,Italy,,25-34,Male,University graduate,I mostly prefer to like posts in my News Feed,For few hours on each day,Yes,Yes,Yes,Public,Neutral,Probably disagree,No,,,,,
10467198088,223929250,01/15/2019 03:52:27 PM,01/15/2019 04:12:01 PM,78.178.192.242,,,,,Yes,Turkey,,25-34,Male,University graduate,I mostly prefer to like posts in my News Feed,When Facebook send an alert then I check my received posts,No,No,Yes,Only my friends,Strongly disagree,Strongly disagree,No,Yes,Yes,by Facebook,"No, this would be too complicated",Thank you for this study and pointing out such an important privacy issue.
10467134889,223929250,01/15/2019 03:33:56 PM,01/15/2019 03:35:22 PM,146.48.99.104,,,,,Yes,Italy,,25-34,Male,Doctorate degree,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",For few hours on each day,Yes,Yes,Yes,Only my friends,Probably agree,Neutral,Yes,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10467106791,223929250,01/15/2019 03:14:39 PM,01/15/2019 03:17:08 PM,146.48.99.50,,,,,Yes,Italy,,25-34,Male,Doctorate degree,"I like to have interactions (like, comment, share, etc.) with posts in my News Feed",For few hours on each day,Yes,Yes,Yes,Only my friends,Neutral,Neutral,Yes,Yes,Yes,by any trustable third party,"Yes, certainly this is more practical and faster solution",
